[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2192, CPU: 0, Pamiêæ: 6ÿ144 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2200, CPU: 0, Pamiêæ: 4ÿ428 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2272, CPU: 0, Pamiêæ: 8ÿ180 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2300, CPU: 0, Pamiêæ: 1ÿ960 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2316, CPU: 0, Pamiêæ: 3ÿ848 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2456, CPU: 0, Pamiêæ: 4ÿ824 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2484, CPU: 0, Pamiêæ: 6ÿ208 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2500, CPU: 0, Pamiêæ: 4ÿ176 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2560, CPU: 0, Pamiêæ: 16ÿ524 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2628, CPU: 0, Pamiêæ: 4ÿ204 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2644, CPU: 0, Pamiêæ: 4ÿ044 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2792, CPU: 0, Pamiêæ: 2ÿ604 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2896, CPU: 0, Pamiêæ: 8ÿ072 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 2988, CPU: 0, Pamiêæ: 2ÿ816 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3016, CPU: 0, Pamiêæ: 14ÿ260 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3120, CPU: 0, Pamiêæ: 36ÿ316 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3128, CPU: 0, Pamiêæ: 13ÿ248 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3140, CPU: 0, Pamiêæ: 2ÿ700 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3152, CPU: 0, Pamiêæ: 26ÿ648 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3160, CPU: 0, Pamiêæ: 5ÿ416 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: armsvc.exe, Status: Services, PID: 3192, CPU: 0, Pamiêæ: 652 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: FoxitPDFReaderUpdateService.exe, Status: Services, PID: 3200, CPU: 0, Pamiêæ: 1ÿ436 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3256, CPU: 0, Pamiêæ: 1ÿ400 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3268, CPU: 0, Pamiêæ: 3ÿ896 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: logioptionsplus_updater.exe, Status: Services, PID: 3284, CPU: 0, Pamiêæ: 12ÿ240 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3320, CPU: 0, Pamiêæ: 960 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3360, CPU: 0, Pamiêæ: 2ÿ100 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3380, CPU: 0, Pamiêæ: 13ÿ228 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3432, CPU: 0, Pamiêæ: 1ÿ572 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: MsMpEng.exe, Status: Services, PID: 3464, CPU: 0, Pamiêæ: 300ÿ160 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 3524, CPU: 0, Pamiêæ: 1ÿ356 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: Memory Compression, Status: Services, PID: 4340, CPU: 0, Pamiêæ: 737ÿ288 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: dasHost.exe, Status: Services, PID: 4360, CPU: 0, Pamiêæ: 7ÿ080 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 4392, CPU: 0, Pamiêæ: 5ÿ676 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: SearchIndexer.exe, Status: Services, PID: 4524, CPU: 0, Pamiêæ: 42ÿ744 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 4608, CPU: 0, Pamiêæ: 1ÿ620 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 4772, CPU: 0, Pamiêæ: 3ÿ504 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: dasHost.exe, Status: Services, PID: 4892, CPU: 0, Pamiêæ: 2ÿ072 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 5004, CPU: 0, Pamiêæ: 6ÿ408 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: NisSrv.exe, Status: Services, PID: 5368, CPU: 0, Pamiêæ: 6ÿ880 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: NVDisplay.Container.exe, Status: Console, PID: 5940, CPU: 1, Pamiêæ: 13ÿ708 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: svchost.exe, Status: Services, PID: 4480, CPU: 0, Pamiêæ: 2ÿ896 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
